Time Step,Average droplet size,Rain Count,Total Drops,Max Drop Size
760,2,0,286,25
761,2,1,287,25
762,2,0,287,19
763,2,0,289,19
764,2,1,289,19
765,2,0,290,19
766,2,0,292,19
767,2,1,289,19
768,2,1,290,19
769,2,0,291,17
770,2,0,292,23
771,2,0,290,23
772,2,0,291,23
773,2,0,291,23
774,2,0,294,23
775,2,1,296,23
776,2,0,301,23
777,2,0,299,23
778,2,0,294,23
779,2,0,295,23
780,2,1,292,23
781,2,0,290,21
782,2,0,288,21
783,2,1,288,21
784,2,0,289,22
785,2,1,289,22
786,2,0,286,22
787,2,0,286,22
788,2,0,286,22
789,2,0,289,22
790,2,0,291,22
791,2,0,293,22
792,2,0,295,22
793,2,0,294,22
794,2,0,289,24
795,2,0,287,25
796,2,1,287,25
797,2,0,285,19
798,2,0,284,19
799,2,0,286,19
800,2,0,285,19
801,2,0,285,19
802,2,0,286,19
803,2,0,288,19
804,2,2,291,19
805,2,0,288,16
806,2,1,288,16
807,2,0,289,14
808,2,0,291,14
809,2,0,292,15
810,2,0,293,15
811,2,0,294,18
812,2,0,292,18
813,2,0,294,18
814,2,1,295,18
815,2,0,293,18
816,2,0,289,18
817,2,0,287,18
818,2,0,287,18
819,2,0,289,18
820,2,1,290,18
821,2,0,290,13
822,2,0,292,13
823,2,0,289,13
824,2,0,289,13
825,2,0,291,13
826,2,0,292,13
827,2,0,292,14
828,2,0,292,14
829,2,0,291,14
830,2,0,288,14
831,2,0,286,15
832,2,1,285,15
833,2,0,287,14
834,2,1,288,14
835,2,0,287,11
836,2,0,287,11
837,2,0,283,15
838,2,0,278,16
839,2,1,284,16
840,2,1,283,16
841,2,0,281,16
842,2,0,283,16
843,2,0,282,16
844,2,0,285,16
845,2,0,285,17
846,2,0,285,17
847,2,0,282,20
848,2,0,281,20
849,2,0,281,20
850,2,0,281,20
851,2,0,283,20
852,2,1,282,20
853,2,0,284,12
854,2,0,287,12
855,2,0,284,12
856,2,0,288,12
857,2,0,285,13
858,2,0,283,13
859,2,0,285,13
860,2,0,291,13
861,2,0,288,13
862,2,0,287,13
863,2,0,288,13
864,2,0,290,13
865,2,0,290,13
866,2,0,288,13
867,2,0,288,13
868,2,1,289,13
869,2,0,290,13
870,2,0,292,13
871,2,0,292,13
872,2,0,295,13
873,2,0,298,13
874,2,0,296,13
875,2,0,298,13
876,2,0,299,13
877,2,0,297,13
878,2,0,294,13
879,2,0,302,13
880,2,0,303,13
881,2,1,300,13
882,2,0,298,13
883,2,0,297,13
884,2,0,296,13
885,2,0,298,13
886,2,0,295,14
887,2,0,295,14
888,2,0,294,15
889,2,0,297,15
890,2,0,297,15
891,2,0,297,15
892,2,0,297,15
893,2,0,296,16
894,2,0,299,18
895,2,0,297,18
896,2,0,298,18
897,2,0,296,18
898,2,0,298,18
899,2,0,301,18
900,2,1,299,19
901,2,0,298,19
902,2,0,299,19
903,2,0,300,19
904,2,0,299,19
905,2,1,298,19
906,3,0,294,19
907,2,1,291,19
908,2,0,291,11
909,2,0,291,11
910,2,0,290,11
911,2,0,289,11
912,2,0,291,11
913,2,0,290,11
914,3,0,291,11
915,3,0,291,11
916,3,0,292,11
917,2,0,293,11
918,2,0,295,11
919,2,0,297,11
920,3,0,297,11
921,3,0,294,11
922,2,0,294,11
923,2,0,299,11
924,2,0,302,11
925,2,0,301,11
926,2,0,303,11
927,2,0,303,11
928,2,0,304,11
929,2,0,306,11
930,2,0,309,11
931,2,0,310,11
932,2,0,310,11
933,2,0,312,11
934,2,0,313,11
935,3,0,313,11
936,3,0,308,14
937,3,0,307,14
938,3,0,305,21
939,3,0,305,21
940,3,0,307,21
941,3,0,307,21
942,3,0,309,21
943,3,0,308,21
944,3,0,305,21
945,3,0,303,23
946,3,0,302,23
947,3,1,302,23
948,3,1,301,23
949,3,0,299,23
950,3,0,297,23
951,3,0,300,23
952,3,0,299,23
953,3,0,302,23
954,3,0,301,23
955,3,0,302,23
956,3,1,302,23
957,3,1,299,23
958,3,1,300,23
959,3,0,297,23
960,3,0,298,23
961,3,0,298,23
962,3,0,299,23
963,3,0,299,23
964,3,0,300,23
965,3,0,302,30
966,3,0,302,30
967,3,1,301,30
968,3,0,301,30
969,3,0,306,39
970,3,0,307,39
971,3,0,308,39
972,3,1,308,39
973,2,2,307,18
974,2,0,304,17
975,3,0,304,17
976,3,0,301,17
977,3,0,302,17
978,3,0,303,17
979,3,0,304,18
980,3,0,302,18
981,3,0,300,21
982,3,0,298,21
983,3,0,301,21
984,3,1,304,21
985,3,0,307,21
986,3,0,309,22
987,3,0,305,22
988,3,0,306,22
989,3,0,307,22
990,3,0,309,22
991,3,1,309,22
992,3,1,305,22
993,3,2,304,22
994,3,0,299,22
995,3,1,298,22
996,3,0,298,22
997,3,0,297,22
998,3,0,298,22
999,3,1,302,22
